,titles,category,summary
0,블루 록,액션,줄거리 세계 제일의 에고이스트가 아니면  세계 제일의 스트라이커가 될 수 없다   일본을 월드컵 우승으로 이끌 스트라이커를 육성하기 위해 일본 축구 연맹은 어떤 계획을 내세웠다  그 이름은  블루 록 푸른 감옥   프로젝트   그렇게 해서 모인    명의 고등학생들  거기에다 모두    포워드  포지션이었다      명의 축구 생명을 희생시켜 탄생할  일본 축구에 혁명을 불러일으킬 스트라이커는 과연   지금  역사상 가장 뜨겁고 정신 나간 축구 애니메이션이 개막한다       접기
1,Free   한국어 더빙 ,액션,줄거리  나나세 하루카 는  물에 닿는 것  헤엄치는 것 을 좋아한다   초등학생 때 같은 수영 클럽에 다니던  나나세 하루카   타치바나 마코토   마츠오카 린   하즈키 나기사  그들은 초등학교 졸업 전에 나간 대회에서 우승한 것을 마지막으로 각자 다른 길로 나아간다   이윽고 시간이 흘러 평범하게 고교 생활을 보내던 하루카의 앞에 린이 나타난다  하루카에게 도전하고 압도적인 실력을 보여주는 린  이대로는 끝낼 수 없다   그리고  마코토와 나기사가 다시 모이고 새롭게  류가자키 레이 를 끌어들여 이와토비 수영부를 설립한다   하루카  마코토  나기사  레이  그리고 린  이것은 약동감 넘치는 남자 고교생들의 수영과 청춘과 인연의 이야기       접기
2,Extreme Hearts,액션,줄거리 지금보다 조금 미래의 이야기  서포트 아이템 익스트림 기어를 사용해서 즐기는  하이퍼 스포츠 는 아이부터 어른까지 다양한 계층에게 인기가 있는 하비 경기   그런 하이퍼 스포츠와는 아무런 인연도 없었던 고등학생 가수  하야마 히요리에게 찾아온 어떤 사건과 만남을 계기로 이야기는 움직이기 시작했는데    이것은 우리들이 최고의 동료들과 만나게 되는 이야기       접기
3,슛  Goal to the Future,액션,줄거리 전 카케가와 고등학교 축구부 주장이자  이탈리아 명문 팀에서 활약한  세계의 투장  카미야 아츠시   지금은 약체화된 카케가와 고등학교에 다니며  축구부와는 거리를 두려고 하는 츠지 히데토   두 사람이 만났을 때  새로운 전설의 막이 오른다       접기
4, 극장판  Free   the Final Stroke  전편,액션,줄거리 세계를 목표로 하는 나나세 하루카의 새로운 무대는 이전에 방문했던 꿈의 장소인 시드니  그곳으로 떠나기 전 잠시 휴식을 취하던 어느 날  하루카는 전 일본 수영 경기 대표 선발전에서 싸웠던 한 선수와 우연히 대치하고 투지를 불태운다   함께 헤엄쳐 왔던 동료들과의 추억을 가슴에 품고 한층 더 새로운 경지에 발을 내디디는 하루카  그곳에서 기다리고 있는 건 절대 왕자   알베르트 워란데르  시드니 대회를 위해 선수들은 저마다 사기를 북돋워간다  세계의 정점을 겨루는 가운데  그들은 무엇을 느끼고 무엇을 위해 헤엄치는가   물과 마주하는 그들의 뜨거운 싸움이 여기서 시작된다       접기
5,러브 올 플레이,액션,줄거리 시속      로 꿰뚫는 단 한 번의 청춘  시합 개시  스매시를 할 때의 속도가 시속      를 넘는 세계 최속의 스포츠  셔틀콕을 계속 따라가며 청춘을 건 배트민턴부의 고등학생들   동료와 부딪치고  가족들의 도움 아래 힘을 얻고 절차탁마해나간다  청춘의 달콤함과 쌉싸름함  상쾌함 그리고 투명감   뜨거운 마음을 셔틀콕에 실은 그들의 청춘이 이제 시작된다       접기
6,BIRDIE WING  Golf Girls  Story ,액션,줄거리 유럽 어딘가에 있는 나라 나프레스  천재적인 골프 실력을 가진 이브는 먹고살기 위해 내기 골프로 돈을 버는 나날을 보내고 있었다  그러던 어느 날  대기업 영애이자 엘리트 골퍼인 아마와시 아오이와 운명적인 만남을 이루었다   모든 것이 다른 세계에서 살고 있는 두 명의 천재  서로의 마음을 꿰뚫은 것은 단 한 방의 샷이었다   무지갯빛 탄환  레인보우 불릿 이라 불리는 이브와 압박감과는 상관없이 순수하게 골프를 즐기는 천진난만한 폭군  아오이  둘은 그렇게 서로에게 끌리고  영향을 받고  변해갔다   재능과 재능이 부딪치는 골프 걸즈 스토리   날아올라라  세계로       접기
7,리맨즈 클럽,액션,줄거리 천재적인 관찰안으로 배드민턴 선수로서 활약했던 시라토리 미코토  하지만  인터하이에서의 트라우마 때문에 생각한 대로 플레이를 할 수 없게 되었다  사회인 선수로서 소속돼 있던 강호 팀 미츠호시 은행에서 해고당한 미코토   선수로서의 재기를 걸고 선라이트 베버리지에 입사한 그를 기다리고 있던 것은 익숙지 않은 회사원으로서의 업무와 성과를 내지 못하고 있던 약소 배드민턴부  덤으로 덜렁대고  목소리가 크고  이상하게 친한 척하는 아저씨    미야즈미 타츠루   전 천재 신입사원과 호쾌한 아저씨  배드리맨   모든 게 정반대인 콤비가 탄생했을 때 포기했던 꿈이 다시 한번 막을 연다       접기
8,풋살 보이즈     ,액션,줄거리 풋살이 세계적으로 붐이 된지 십수 년       월드컵 결승전을 본 야마토 하루는 일본 대표 선수 텐노지 토키나리를 보고 강하게 동경하게 된다   그리고 의기양양하게 입부한 코요 학원 풋살부에서 동료에게 공을 패스하지 않는 고고한 선수 사카키 세이치로와 풋살을 포기할 뻔했던 과거를 지닌 츠키오카 토이 일행과 만난다   각자 아픈 과거가 있지만 그래도 지금은 풋살이 하고 싶다   약하고 흔들리기 쉽지만 열정을 두르고 달려 나간다  남자 고등학생들의 전력을 다 하는  순간  청춘 이 시작된다     접기
9,Free ,액션,줄거리  나나세 하루카 는  물에 닿는 것  헤엄치는 것 을 좋아한다   초등학생 때 같은 수영 클럽에 다니던  나나세 하루카   타치바나 마코토   마츠오카 린   하즈키 나기사  그들은 초등학교 졸업 전에 나간 대회에서 우승한 것을 마지막으로 각자 다른 길로 나아간다   이윽고 시간이 흘러 평범하게 고교 생활을 보내던 하루카의 앞에 린이 나타난다  하루카에게 도전하고 압도적인 실력을 보여주는 린  이대로는 끝낼 수 없다   그리고  마코토와 나기사가 다시 모이고 새롭게  류가자키 레이 를 끌어들여 이와토비 수영부를 설립한다  하루카  마코토  나기사  레이  그리고 린  이것은 약동감 넘치는 남자 고교생들의 수영과 청춘과 인연의 이야기     접기
